"""","総 数_人","韓国，朝鮮_人","中国_人","アメリカ_人","ブラジル_人","フィリピン_人","タイ_人","インドネシア_人","ベトナム_人","その他 _人"
"総 数","4837.0","2102.0","969.0","141.0","72.0","456.0","262.0","93.0","55.0","687.0"
"","","","","","","","","","",""
" 和歌山市","2637.0","1291.0","480.0","45.0","34.0","145.0","137.0","33.0","37.0","435.0"
" 海 南 市","172.0","72.0","55.0","4.0","1.0","2.0","18.0","3.0","5.0","12.0"
" 橋 本 市","191.0","98.0","33.0","14.0","2.0","22.0","5.0","1.0","1.0","15.0"
" 有 田 市","165.0","84.0","23.0","7.0","1.0","30.0","-","10.0","-","10.0"
" 御 坊 市","141.0","36.0","55.0","5.0","5.0","9.0","1.0","5.0","2.0","23.0"
" 田 辺 市","257.0","70.0","48.0","22.0","-","85.0","2.0","-","1.0","29.0"
" 新 宮 市","153.0","50.0","12.0","8.0","2.0","32.0","26.0","-","1.0","22.0"
" 紀の川市","219.0","82.0","64.0","7.0","3.0","15.0","24.0","-","7.0","17.0"
" 岩 出 市","205.0","110.0","20.0","3.0","4.0","11.0","18.0","-","-","39.0"
"","","","","","","","","","",""
" 紀美野町","19.0","2.0","7.0","2.0","-","4.0","-","-","-","4.0"
"","","","","","","","","","",""
" かつらぎ町","70.0","50.0","8.0","-","1.0","6.0","2.0","-","1.0","2.0"
" 九度山町","5.0","0.0","2.0","2.0","-","-","-","-","-","1.0"
" 高 野 町","10.0","0.0","1.0","2.0","-","1.0","-","-","-","6.0"
"","","","","","","","","","",""
" 湯 浅 町","51.0","10.0","20.0","-","6.0","4.0","-","8.0","-","3.0"
" 広 川 町","15.0","4.0","2.0","-","2.0","2.0","-","1.0","-","4.0"
" 有田川町","58.0","13.0","22.0","4.0","-","4.0","2.0","2.0","-","11.0"
"","","","","","","","","","",""
" 美 浜 町","23.0","12.0","8.0","-","-","-","-","-","-","3.0"
" 日 高 町","8.0","3.0","2.0","1.0","-","1.0","-","-","-","1.0"
" 由 良 町","32.0","6.0","-","1.0","2.0","1.0","-","22.0","-","0.0"
" 印 南 町","12.0","2.0","8.0","-","-","1.0","-","-","-","1.0"
" みなべ町","48.0","11.0","19.0","2.0","1.0","10.0","3.0","-","-","2.0"
" 日高川町","48.0","4.0","12.0","1.0","-","2.0","-","7.0","-","22.0"
"","","","","","","","","","",""
" 白 浜 町","80.0","22.0","24.0","2.0","2.0","17.0","3.0","-","-","10.0"
" 上富田町","35.0","17.0","6.0","1.0","-","6.0","-","1.0","-","4.0"
" すさみ町","19.0","-","13.0","1.0","-","4.0","-","-","-","1.0"
"","","","","","","","","","",""
" 那智勝浦町","93.0","33.0","8.0","3.0","4.0","26.0","14.0","-","-","5.0"
" 太 地 町","9.0","2.0","1.0","1.0","-","3.0","2.0","-","-","0.0"
" 古座川町","15.0","3.0","6.0","1.0","1.0","1.0","2.0","-","-","1.0"
" 北 山 村","-","-","-","-","-","-","-","-","-","-"
" 串 本 町","47.0","15.0","10.0","2.0","1.0","12.0","3.0","-","-","4.0"
